id,nama_latin,nama_indonesia,nama_inggris,kingdom,phylum,kelas,ordo,family,genus,kategori,sinonim_ilmiah,sumber_data
rafflesia_arnoldii,Rafflesia arnoldi,Patma raksasa,Arnold's rafflesia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rafflesiaceae,Rafflesia,Magnoliopsida,Rafflesia titan,GBIF: https://www.gbif.org/species/7279683; Wikidata: http://www.wikidata.org/entity/Q161888
bunga_bangkai_raksasa,Amorphophallus titanum,Bunga bangkai,Titan Arum,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Liliopsida,Amorphophallus selebicus|Amorphophallus titanum|Conophallus titanum,GBIF: https://www.gbif.org/species/2871508; Wikidata: http://www.wikidata.org/entity/Q431224
meranti_merah,Shorea leprosula,Meranti Bunga,Light Red Meranti,Plantae,Tracheophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Shorea,Magnoliopsida,Hopea maranti|Shorea astrosticta|Shorea maranti,GBIF: https://www.gbif.org/species/4097193; Wikidata: http://www.wikidata.org/entity/Q3017429
ulin,Eusideroxylon zwageri,Ulin,Billian,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Eusideroxylon,Magnoliopsida,Bihania borneensis|Cinnamomum borneense|Cryptocarya laurifolia|Eusideroxylon borneense|Salgada laurifolia,GBIF: https://www.gbif.org/species/3033968; Wikidata: http://www.wikidata.org/entity/Q5227722
cendana,Santalum album,Cendana,Indian Sandalwood,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Santalum,Magnoliopsida,Santalum ellipticum|Santalum myrtifolium|Santalum ovatum,GBIF: https://www.gbif.org/species/2889785; Wikidata: http://www.wikidata.org/entity/Q210858
pala,Myristica fragrans,Pala,Nutmeg,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,Myristica,Magnoliopsida,Aruana silvestris|Myristica amboinensis|Myristica americana|Myristica aromatica,GBIF: https://www.gbif.org/species/5406817; Wikidata: http://www.wikidata.org/entity/Q2724976
sagu,Metroxylon sagu,Rumbia,sago palm,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Metroxylon,Liliopsida,Metroxylon hermaphroditum|Metroxylon inerme|Metroxylon laeve|Metroxylon longispinum|Metroxylon micracanthum,GBIF: https://www.gbif.org/species/2733781; Wikidata: http://www.wikidata.org/entity/Q164088
anggrek_bulan,Phalaenopsis amabilis,Anggrek bulan,Moon Orchid,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phalaenopsis,Liliopsida,Cymbidium amabile|Epidendrum amabile|Phalaenopsis amabilis ramosa|Synadena amabilis,GBIF: https://www.gbif.org/species/5311007; Wikidata: http://www.wikidata.org/entity/Q1069597
durian,Durio zibethinus,Durian,durian,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Durio,Magnoliopsida,Durio acuminatissima|Durio stercoraceus,GBIF: https://www.gbif.org/species/3152230; Wikidata: http://www.wikidata.org/entity/Q1135236
kantong_semar,Nepenthes gymnamphora,Kantong Semar,Tropical Pitcher Plant,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nepenthaceae,Nepenthes,Magnoliopsida,Nepenthes glabra|Nepenthes gymnamphora|Nepenthes gymnamphora haematamphora|Nepenthes melamphora,GBIF: https://www.gbif.org/species/3702020; Wikidata: http://www.wikidata.org/entity/Q4189835
mangga,Mangifera indica,mangga,Common Indian Mango,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Magnoliopsida,Mangifera amba|Mangifera anisodora|Mangifera austroyunnanensis|Mangifera balba,GBIF: https://www.gbif.org/species/3190638; Wikidata: http://www.wikidata.org/entity/Q3919027
kelapa,Cocos nucifera,kelapa,coconut palm,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Cocos,Liliopsida,Calappa nucifera|Cocos indica|Cocos mamillaris|Cocos nana|Cocos nucifera palmyrensis,GBIF: https://www.gbif.org/species/2735117; Wikidata: http://www.wikidata.org/entity/Q13187
