id,input_query_name,accepted_scientific_name,gbif_key,gbif_url,kingdom,phylum,kelas,ordo,family,genus,nama_indonesia_api,nama_inggris_api,taxonomic_status,rank,seed_source,seed_note
rafflesia_arnoldii,Rafflesia arnoldi,Rafflesia arnoldi,7279683,https://www.gbif.org/species/7279683,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Rafflesiaceae,Rafflesia,Kerubut,Arnold's rafflesia,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bunga_bangkai_raksasa,Amorphophallus titanum,Amorphophallus titanum,2871508,https://www.gbif.org/species/2871508,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Amorphophallus,Bunga bangkai,Titan Arum,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
meranti_merah,Shorea leprosula,Shorea leprosula,4097193,https://www.gbif.org/species/4097193,Plantae,Tracheophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Shorea,,Light Red Meranti,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ulin,Eusideroxylon zwageri,Eusideroxylon zwageri,3033968,https://www.gbif.org/species/3033968,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Eusideroxylon,Bi,Billian,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cendana,Santalum album,Santalum album,2889785,https://www.gbif.org/species/2889785,Plantae,Tracheophyta,Magnoliopsida,Santalales,Santalaceae,Santalum,Cendana,Indian Sandalwood,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pala,Myristica fragrans,Myristica fragrans,5406817,https://www.gbif.org/species/5406817,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Myristicaceae,Myristica,Pala,Nutmeg,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sagu,Metroxylon sagu,Metroxylon sagu,2733781,https://www.gbif.org/species/2733781,Plantae,Tracheophyta,Liliopsida,Arecales,Arecaceae,Metroxylon,Rumbia,sago palm,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anggrek_bulan,Phalaenopsis amabilis,Phalaenopsis amabilis,5311007,https://www.gbif.org/species/5311007,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Phalaenopsis,,,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
durian,Durio zibethinus,Durio zibethinus,3152230,https://www.gbif.org/species/3152230,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Durio,,durian,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kantong_semar,Nepenthes gymnamphora,Nepenthes gymnamphora,3702020,https://www.gbif.org/species/3702020,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Nepenthaceae,Nepenthes,,,ACCEPTED,SPECIES,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
