id,input_query_name,accepted_scientific_name,wikidata_url,label_id,label_en,kingdom,phylum,kelas,ordo,family,genus,seed_source,seed_note
rafflesia_arnoldii,Rafflesia arnoldi,Rafflesia arnoldi,http://www.wikidata.org/entity/Q161888,Patma raksasa,Rafflesia arnoldi,Plantae,,,Malpighiales,Rafflesiaceae,Rafflesia,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
bunga_bangkai_raksasa,Amorphophallus titanum,Amorphophallus titanum,http://www.wikidata.org/entity/Q431224,Bunga bangkai,Amorphophallus titanum,Plantae,,,Alismatales,Araceae,Amorphophallus,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
meranti_merah,Shorea leprosula,Shorea leprosula,http://www.wikidata.org/entity/Q3017429,Meranti Bunga,Shorea leprosula,Plantae,,,Malvales,Dipterocarpaceae,Shorea,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
ulin,Eusideroxylon zwageri,Eusideroxylon zwageri,http://www.wikidata.org/entity/Q5227722,Ulin,Eusideroxylon zwageri,Plantae,,,Laurales,Lauraceae,Eusideroxylon,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
cendana,Santalum album,Santalum album,http://www.wikidata.org/entity/Q210858,Cendana,Santalum album,Plantae,,,Santalales,Santalaceae,Santalum,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
pala,Myristica fragrans,Myristica fragrans,http://www.wikidata.org/entity/Q2724976,Pala,Myristica fragrans,Plantae,,,Magnoliales,Myristicaceae,Myristica,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
sagu,Metroxylon sagu,Metroxylon sagu,http://www.wikidata.org/entity/Q164088,Rumbia,Metroxylon sagu,Plantae,,,Arecales,Arecaceae,Metroxylon,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
anggrek_bulan,Phalaenopsis amabilis,Phalaenopsis amabilis,http://www.wikidata.org/entity/Q1069597,Anggrek bulan,Phalaenopsis amabilis,Plantae,,,Asparagales,Orchidaceae,Phalaenopsis,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
durian,Durio zibethinus,Durio zibethinus,http://www.wikidata.org/entity/Q1135236,Durian,Durio zibethinus,Plantae,,,Malvales,Malvaceae,Durio,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
kantong_semar,Nepenthes gymnamphora,Nepenthes gymnamphora,http://www.wikidata.org/entity/Q4189835,Nepenthes gymnamphora,Nepenthes gymnamphora,Plantae,,,Caryophyllales,Nepenthaceae,Nepenthes,Curated project seed list,"Daftar target disusun manual untuk memenuhi 50 flora dan 50 fauna Indonesia, lalu nama ilmiah divalidasi melalui GBIF/Wikidata."
