id,image_url,image_source,description,description_source
rafflesia_arnoldii,https://commons.wikimedia.org/wiki/Special:Redirect/file/Rafflesia_Arnoldii_Batang_Palupuah_Indonesia.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Rafflesia_Arnoldii_Batang_Palupuah_Indonesia.jpg,"Patma raksasa (Rafflesia arnoldi) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Rafflesiaceae dan genus Rafflesia. Nama Inggris yang tercatat adalah Arnold's rafflesia.",Generated from validated project taxonomy fields
bunga_bangkai_raksasa,https://commons.wikimedia.org/wiki/Special:Redirect/file/Titan-arum1web.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Titan-arum1web.jpg,"Bunga bangkai (Amorphophallus titanum) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Araceae dan genus Amorphophallus. Nama Inggris yang tercatat adalah Titan Arum.",Generated from validated project taxonomy fields
meranti_merah,https://commons.wikimedia.org/wiki/Special:Redirect/file/Shorea_leprosula_-_feuilles.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Shorea_leprosula_-_feuilles.jpg,"Meranti Bunga (Shorea leprosula) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Dipterocarpaceae dan genus Shorea. Nama Inggris yang tercatat adalah Light Red Meranti.",Generated from validated project taxonomy fields
ulin,https://commons.wikimedia.org/wiki/Special:Redirect/file/Eusideroxylon_zwageri.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Eusideroxylon_zwageri.JPG,"Ulin (Eusideroxylon zwageri) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Lauraceae dan genus Eusideroxylon. Nama Inggris yang tercatat adalah Billian.",Generated from validated project taxonomy fields
cendana,https://commons.wikimedia.org/wiki/Special:Redirect/file/Santalum_album_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-128.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Santalum_album_-_K%C3%B6hler%E2%80%93s_Medizinal-Pflanzen-128.jpg,"Cendana (Santalum album) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Santalaceae dan genus Santalum. Nama Inggris yang tercatat adalah Indian Sandalwood.",Generated from validated project taxonomy fields
pala,https://commons.wikimedia.org/wiki/Special:Redirect/file/Myristica_fragrans_at_Elmina_West_in_Seksyen_U15%2C_Shah_Alam_20231126_100924.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Myristica_fragrans_at_Elmina_West_in_Seksyen_U15%2C_Shah_Alam_20231126_100924.jpg,"Pala (Myristica fragrans) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Myristicaceae dan genus Myristica. Nama Inggris yang tercatat adalah Nutmeg.",Generated from validated project taxonomy fields
sagu,https://commons.wikimedia.org/wiki/Special:Redirect/file/Sago_%28Metroxylon_sagu%29_in_New_Guinea.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Sago_%28Metroxylon_sagu%29_in_New_Guinea.jpg,"Rumbia (Metroxylon sagu) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Arecaceae dan genus Metroxylon. Nama Inggris yang tercatat adalah sago palm.",Generated from validated project taxonomy fields
anggrek_bulan,https://commons.wikimedia.org/wiki/Special:Redirect/file/Phalaenopsis_amabilis_Orchi_03.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Phalaenopsis_amabilis_Orchi_03.jpg,"Anggrek bulan (Phalaenopsis amabilis) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Orchidaceae dan genus Phalaenopsis. Nama Inggris yang tercatat adalah Moon Orchid.",Generated from validated project taxonomy fields
durian,https://commons.wikimedia.org/wiki/Special:Redirect/file/Durian_Fruit.JPG?width=1200,https://commons.wikimedia.org/wiki/File:Durian_Fruit.JPG,"Durian (Durio zibethinus) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Malvaceae dan genus Durio. Nama Inggris yang tercatat adalah durian.",Generated from validated project taxonomy fields
kantong_semar,https://commons.wikimedia.org/wiki/Special:Redirect/file/Npectinata.jpg?width=1200,https://commons.wikimedia.org/wiki/File:Npectinata.jpg,"Kantong Semar (Nepenthes gymnamphora) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Nepenthaceae dan genus Nepenthes. Nama Inggris yang tercatat adalah Tropical Pitcher Plant.",Generated from validated project taxonomy fields
mangga,https://commons.wikimedia.org/wiki/Special:Redirect/file/The_Botanical_Magazine._Mango.jpg?width=1200,https://commons.wikimedia.org/wiki/File:The_Botanical_Magazine._Mango.jpg,"mangga (Mangifera indica) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Magnoliopsida. Spesies ini tercatat pada family Anacardiaceae dan genus Mangifera. Nama Inggris yang tercatat adalah Common Indian Mango.",Generated from validated project taxonomy fields
kelapa,https://commons.wikimedia.org/wiki/Special:Redirect/file/1859-Martinique.web.jpg?width=1200,https://commons.wikimedia.org/wiki/File:1859-Martinique.web.jpg,"kelapa (Cocos nucifera) merupakan entri leksikon flora dalam kingdom Plantae, phylum Tracheophyta, dan kelas Liliopsida. Spesies ini tercatat pada family Arecaceae dan genus Cocos. Nama Inggris yang tercatat adalah coconut palm.",Generated from validated project taxonomy fields
