id,nama_latin,nama_indonesia,nama_inggris,kingdom,kelas,ordo,family,genus,kategori,habitat,deskripsi,sinonim_ilmiah,status_endemik,sumber_data
rafflesia_arnoldii,Rafflesia arnoldi,Patma raksasa,Corpse lily,Plantae,Magnoliopsida,Malpighiales,Rafflesiaceae,Rafflesia,Bunga parasit,Hutan hujan Sumatra,Puspa Langka,Rafflesia titan,Endemik Indonesia,GBIF: https://www.gbif.org/species/7279683; Wikidata: http://www.wikidata.org/entity/Q161888
bunga_bangkai_raksasa,Amorphophallus titanum,Bunga bangkai,Titan arum,Plantae,Liliopsida,Alismatales,Araceae,Amorphophallus,Bunga majemuk,Hutan hujan Sumatra,Bunga bangkai raksasa adalah entri leksikon flora Indonesia kategori Bunga majemuk dengan habitat utama Hutan hujan Sumatra. Status endemik: Endemik Indonesia.,Amorphophallus selebicus|Amorphophallus titanum|Conophallus titanum,Endemik Indonesia,GBIF: https://www.gbif.org/species/2871508; Wikidata: http://www.wikidata.org/entity/Q431224
meranti_merah,Shorea leprosula,Meranti Bunga,Light red meranti,Plantae,Magnoliopsida,Malvales,Dipterocarpaceae,Shorea,Pohon,Hutan dipterokarpa,Meranti merah adalah entri leksikon flora Indonesia kategori Pohon dengan habitat utama Hutan dipterokarpa. Status endemik: Tidak endemik.,Hopea maranti|Shorea astrosticta|Shorea maranti,Tidak endemik,GBIF: https://www.gbif.org/species/4097193; Wikidata: http://www.wikidata.org/entity/Q3017429
ulin,Eusideroxylon zwageri,Ulin,Bornean ironwood,Plantae,Magnoliopsida,Laurales,Lauraceae,Eusideroxylon,Pohon,Hutan Kalimantan dan Sumatra,spesies tumbuhan yang berasal dari Asia Tenggara,Bihania borneensis|Cinnamomum borneense|Cryptocarya laurifolia|Eusideroxylon borneense|Salgada laurifolia,Tidak endemik,GBIF: https://www.gbif.org/species/3033968; Wikidata: http://www.wikidata.org/entity/Q5227722
cendana,Santalum album,Cendana,Sandalwood,Plantae,Magnoliopsida,Santalales,Santalaceae,Santalum,Pohon,Hutan kering dan savana,Sejenis Kayu Langka yang biasa dibakar untuk mengeluarkan bau yang wangi.,Santalum ellipticum|Santalum myrtifolium|Santalum ovatum,Tidak endemik,GBIF: https://www.gbif.org/species/2889785; Wikidata: http://www.wikidata.org/entity/Q210858
pala,Myristica fragrans,Pala,Nutmeg,Plantae,Magnoliopsida,Magnoliales,Myristicaceae,Myristica,Pohon,Hutan tropis Maluku,Pala adalah entri leksikon flora Indonesia kategori Pohon dengan habitat utama Hutan tropis Maluku. Status endemik: Asli Indonesia Timur.,Aruana silvestris|Myristica amboinensis|Myristica americana|Myristica aromatica,Asli Indonesia Timur,GBIF: https://www.gbif.org/species/5406817; Wikidata: http://www.wikidata.org/entity/Q2724976
sagu,Metroxylon sagu,Rumbia,Sago palm,Plantae,Liliopsida,Arecales,Arecaceae,Metroxylon,Palem,Rawa dan lahan basah,Sagu adalah entri leksikon flora Indonesia kategori Palem dengan habitat utama Rawa dan lahan basah. Status endemik: Tidak endemik.,Metroxylon hermaphroditum|Metroxylon inerme|Metroxylon laeve|Metroxylon longispinum|Metroxylon micracanthum,Tidak endemik,GBIF: https://www.gbif.org/species/2733781; Wikidata: http://www.wikidata.org/entity/Q164088
anggrek_bulan,Phalaenopsis amabilis,Anggrek bulan,Moon orchid,Plantae,Liliopsida,Asparagales,Orchidaceae,Phalaenopsis,Anggrek,Hutan tropis lembap,tanaman,Cymbidium amabile|Epidendrum amabile|Phalaenopsis amabilis ramosa|Synadena amabilis,Tidak endemik,GBIF: https://www.gbif.org/species/5311007; Wikidata: http://www.wikidata.org/entity/Q1069597
durian,Durio zibethinus,Durian,Durian,Plantae,Magnoliopsida,Malvales,Malvaceae,Durio,Pohon buah,Hutan tropis dataran rendah,tumbuhan tropis,Durio acuminatissima|Durio stercoraceus,Tidak endemik,GBIF: https://www.gbif.org/species/3152230; Wikidata: http://www.wikidata.org/entity/Q1135236
kantong_semar,Nepenthes gymnamphora,Kantong semar,Pitcher plant,Plantae,Magnoliopsida,Caryophyllales,Nepenthaceae,Nepenthes,Tumbuhan karnivora,Hutan pegunungan lembap,Kantong semar adalah entri leksikon flora Indonesia kategori Tumbuhan karnivora dengan habitat utama Hutan pegunungan lembap. Status endemik: Endemik Indonesia.,Nepenthes glabra|Nepenthes gymnamphora|Nepenthes gymnamphora haematamphora|Nepenthes melamphora,Endemik Indonesia,GBIF: https://www.gbif.org/species/3702020; Wikidata: http://www.wikidata.org/entity/Q4189835
mangga,Mangifera indica,mangga,Mango,Plantae,Magnoliopsida,Sapindales,Anacardiaceae,Mangifera,Pohon buah,Kebun dan hutan tropis,Sejenis tumbuhan yang berbuah,Mangifera amba|Mangifera anisodora|Mangifera austroyunnanensis|Mangifera balba,Tidak endemik,GBIF: https://www.gbif.org/species/3190638; Wikidata: http://www.wikidata.org/entity/Q3919027
kelapa,Cocos nucifera,kelapa,Coconut,Plantae,Liliopsida,Arecales,Arecaceae,Cocos,Palem,Pesisir dan kebun tropis,tumbuhan,Calappa nucifera|Cocos indica|Cocos mamillaris|Cocos nana|Cocos nucifera palmyrensis,Tidak endemik,GBIF: https://www.gbif.org/species/2735117; Wikidata: http://www.wikidata.org/entity/Q13187
pisang,Musa acuminata,Pisang,Wild banana,Plantae,Liliopsida,Zingiberales,Musaceae,Musa,Herba buah,Hutan dan kebun tropis,Pisang adalah entri leksikon flora Indonesia kategori Herba buah dengan habitat utama Hutan dan kebun tropis. Status endemik: Tidak endemik.,Musa acuminata burmannicoides|Musa brieyi|Musa cavendishii|Musa chinensis,Tidak endemik,GBIF: https://www.gbif.org/species/2762680; Wikidata: http://www.wikidata.org/entity/Q132970
